agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
montgomery-county-department-of-transportation-ride-on,Montgomery County Department of Transportation (Ride On),F,52.1,2026-07-05,current,62,no,,Re-generate shape distances in your export; flag to your vendor if it persists.,
maryland-transit-administration-467,Commuter Bus,F,54.8,2026-07-05,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
maryland-transit-administration-468,MARC Train,D,60.7,2026-07-05,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
saint-mary-s-transit-system-2268,Saint Maryʼs Transit System,D,66.2,2026-07-05,current,1276,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
maryland-transit-administration-469,Light Rail,C,70.8,2026-07-05,current,179,no,,Add feed_info.txt with feed_start_date and feed_end_date to your export.,
maryland-transit-administration-metro-subway,Metro SubwayLink,C,75.3,2026-07-05,current,179,no,,Add feed_info.txt with feed_start_date and feed_end_date to your export.,
washington-county-transit-2286,Washington County Transit,C,78.3,2026-07-05,current,180,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
harbor-connector,Harbor Connector,B,81.4,2026-07-05,current,118,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
harbor-connector-618,Harbor Connector,B,81.4,2026-07-05,current,118,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
annapolis-transit-2285,Annapolis Transit,A,93.6,2026-07-05,current,87,no,,"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",
