agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
pulaski-area-transit-pat-2198,Pulaski Area Transit (PAT),C,76.1,2026-07-04,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
valley-metro-2437,Flex,C,76.8,2026-07-04,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
virginia-regional-transit-2445,Flex,C,78.3,2026-07-04,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
pulaski-area-transit-pat-2442,Flex,C,79.0,2026-07-04,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
loudoun-county-transit-2411,Flex,C,79.8,2026-07-04,current,59,yes,Grade slipped from B to C,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
jaunt-inc,JAUNT Inc,F,26.2,2026-07-04,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.
valley-metro-2274,Valley Metro,F,33.0,2026-07-04,current,26843,no,,Re-generate shape distances in your export; flag to your vendor if it persists.
fairfax-connector,Fairfax Connector,D,61.3,2026-07-04,current,819,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
hampton-roads-transit-hrt,Hampton Roads Transit (HRT),D,62.3,2026-07-04,current,112,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
fairfax-cue-bus-cue-2885,Fairfax CUE Bus (CUE),D,63.1,2026-07-04,current,8945,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
star-transit-2444,Flex,D,66.0,2026-07-04,current,120,no,,Review the rule documentation for 'invalid_pickup_drop_off_window' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
fairfax-cue-bus-cue,Fairfax CUE Bus (CUE),D,68.3,2026-07-04,current,4958,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
fairfax-cue-bus-cue-484,Fairfax CUE Bus (CUE),D,68.3,2026-07-04,current,4958,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
arlington-transit,Arlington Transit,C,71.1,2026-07-04,current,331,no,,Check the service alerts endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.
blackstone-area-bus-service,Blackstone Area Bus Service,C,74.8,2026-07-04,current,240,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
blackstone-area-bus-service-235,Blackstone Area Bus Service,C,74.8,2026-07-04,current,240,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
loudoun-county-transit,Loudoun County Transit,C,74.8,2026-07-04,current,266,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
four-county-transit-2448,Flex,C,75.7,2026-07-04,current,300,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
star-transit-819,STAR Transit,C,78.2,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
cortran,Flex,C,78.4,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
williamsburg-area-transit-authority-2438,Flex,C,78.5,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
bay-transit-2439,Flex,C,78.6,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
altavista-community-transit-system,Altavista Community Transit System,B,80.2,2026-07-04,current,88,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
altavista-community-transit-system-882,Altavista Community Transit System,B,80.2,2026-07-04,current,88,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
mountain-empire-transit,Flex,B,80.2,2026-07-04,current,89,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
bay-transit,Bay Transit,B,80.5,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
bay-transit-224,Bay Transit,B,80.5,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
four-county-transit,Four County Transit,B,80.9,2026-07-04,current,300,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
greater-lynchburg-transit-co,Greater Lynchburg Transit Co.,B,81.4,2026-07-04,current,180,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
greater-lynchburg-transit-co-381,Greater Lynchburg Transit Co.,B,81.4,2026-07-04,current,180,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
virginia-regional-transit,Virginia Regional Transit,B,83.2,2026-07-04,current,119,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
virginia-regional-transit-621,Virginia Regional Transit,B,83.2,2026-07-04,current,119,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
danville-transit,Flex,B,85.0,2026-07-04,current,88,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
